iso3,country,region,gdp_usd,pagerank,betweenness,in_degree_centrality,out_degree_centrality,clustering_coef,total_exports_bn,total_imports_bn,trade_volume_bn,export_concentration,import_concentration,vulnerability_score,top_export_partner,top_import_partner
USA,United States,North America,25583831532963.22,0.24616,0.19212,0.3793,0.3103,0.2182,1142.0,1919.0,3061.0,0.285,0.279,0.282,MEX,CHN
CHN,China,East Asia,18386910280819.54,0.16639,0.34236,0.5862,0.4828,0.125,1572.0,1300.0,2872.0,0.341,0.153,0.247,USA,KOR
DEU,Germany,Europe,4049249564548.099,0.09404,0.15271,0.3103,0.2414,0.1944,664.0,597.0,1261.0,0.223,0.171,0.197,USA,CHN
MEX,Mexico,North America,1315478401572.2224,0.06521,0.0,0.0345,0.0345,0.0,455.0,325.0,780.0,1.0,1.0,1.0,USA,USA
CAN,Canada,North America,2107023592589.7275,0.06466,0.0,0.0345,0.0345,0.0,357.0,322.0,679.0,1.0,1.0,1.0,USA,USA
JPN,Japan,East Asia,4166051472015.084,0.04047,0.02094,0.1724,0.1379,0.6,393.0,324.0,717.0,0.445,0.395,0.42,CHN,CHN
GBR,United Kingdom,Europe,3089893270502.797,0.03715,0.01847,0.1379,0.1034,0.6667,127.0,262.0,389.0,0.425,0.363,0.394,USA,DEU
KOR,South Korea,East Asia,1674353251889.2593,0.0348,0.0,0.1034,0.1034,1.0,319.0,266.0,585.0,0.624,0.613,0.618,CHN,CHN
IND,India,South Asia,3321734680398.99,0.03242,0.10591,0.1724,0.069,0.4,91.0,269.0,360.0,0.835,0.439,0.637,USA,CHN
BRA,Brazil,South America,1934436522601.942,0.02463,0.09236,0.1034,0.1034,0.3333,140.0,113.0,253.0,0.636,0.478,0.557,CHN,CHN
NLD,Netherlands,Europe,994672991603.3809,0.02326,0.0197,0.1034,0.069,1.0,121.0,197.0,318.0,0.76,0.431,0.596,DEU,DEU
AUS,Australia,Oceania,1717166890518.8247,0.01925,0.02833,0.069,0.1034,0.6667,160.0,152.0,312.0,0.537,0.75,0.644,CHN,CHN
FRA,France,Europe,2784784106408.255,0.01891,0.0,0.0345,0.0345,0.0,98.0,110.0,208.0,1.0,1.0,1.0,DEU,DEU
POL,Poland,Europe,686742575013.8898,0.01421,0.0,0.0345,0.0345,0.0,64.0,71.0,135.0,1.0,1.0,1.0,DEU,DEU
CHE,Switzerland,Europe,794246773446.0607,0.01144,0.0,0.0345,0.0345,0.0,55.0,48.0,103.0,1.0,1.0,1.0,DEU,DEU
IDN,Indonesia,Southeast Asia,1315255160147.309,0.0107,0.0,0.0345,0.0345,0.0,62.0,56.0,118.0,1.0,1.0,1.0,CHN,CHN
MYS,Malaysia,Southeast Asia,413000669887.582,0.01007,0.0,0.0345,0.0345,0.0,55.0,49.0,104.0,1.0,1.0,1.0,CHN,CHN
SGP,Singapore,Southeast Asia,470272706853.5994,0.01007,0.0,0.0345,0.0345,0.0,52.0,49.0,101.0,1.0,1.0,1.0,CHN,CHN
THA,Thailand,Southeast Asia,492256908505.6813,0.00944,0.0,0.0345,0.0345,0.0,45.0,42.0,87.0,1.0,1.0,1.0,CHN,CHN
ARG,Argentina,South America,629995535854.1671,0.00776,0.0,0.0345,0.0345,0.0,18.0,14.0,32.0,1.0,1.0,1.0,BRA,BRA
ZAF,South Africa,Africa,421428215437.18933,0.00719,0.0,0.0345,0.0345,0.0,21.0,17.0,38.0,1.0,1.0,1.0,CHN,CHN
TUR,Turkey,Europe/Asia,905538307356.1174,0.00645,0.0,0.0345,0.0,0.0,0.0,33.0,33.0,0.0,1.0,0.5,,RUS
ARE,UAE,Middle East,508614558937.3371,0.00566,0.0,0.0,0.0345,0.0,41.0,0.0,41.0,1.0,0.0,0.5,IND,
SWE,Sweden,Europe,588856425781.2405,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NOR,Norway,Europe,574211248361.5764,0.00566,0.0,0.0,0.069,1.0,63.0,0.0,63.0,0.556,0.0,0.278,GBR,
BEL,Belgium,Europe,586972039957.8176,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ESP,Spain,Europe,1411669405462.5251,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SAU,Saudi Arabia,Middle East,1092650415059.071,0.00566,0.0,0.0,0.1379,0.8333,192.0,0.0,192.0,0.453,0.0,0.227,CHN,
RUS,Russia,Europe/Asia,2209849588320.3813,0.00566,0.0,0.0,0.1379,0.5,202.0,0.0,202.0,0.391,0.0,0.196,CHN,
EGY,Egypt,Africa,391787708143.8508,0.00566,0.0,0.0,0.069,1.0,26.0,0.0,26.0,0.692,0.0,0.346,CHN,
