iso3,year,gdp_growth_p50,gdp_growth_p10,gdp_growth_p90,inflation_p50,inflation_p10,inflation_p90,recession_prob,high_inf_prob
USA,2023,1.5,-0.19,2.44,10.06,9.37,10.67,0.116,1.0
USA,2024,1.68,-0.37,2.9,7.84,6.99,8.62,0.134,1.0
USA,2025,1.78,-0.35,3.09,6.29,5.38,7.11,0.13,0.96
USA,2026,1.83,-0.29,3.19,5.2,4.25,6.06,0.127,0.614
USA,2027,1.88,-0.23,3.23,4.46,3.5,5.31,0.123,0.214
CHN,2023,2.21,0.12,3.4,6.7,5.84,7.46,0.093,0.984
CHN,2024,2.09,-0.45,3.57,5.52,4.41,6.44,0.138,0.739
CHN,2025,1.94,-0.65,3.61,4.66,3.5,5.7,0.155,0.342
CHN,2026,1.85,-0.79,3.58,4.07,2.88,5.15,0.165,0.137
CHN,2027,1.87,-0.84,3.59,3.67,2.48,4.75,0.172,0.059
DEU,2023,1.54,0.07,2.39,11.03,10.41,11.56,0.095,1.0
DEU,2024,1.74,0.03,2.79,8.52,7.77,9.18,0.097,1.0
DEU,2025,1.87,-0.01,3.01,6.75,5.96,7.49,0.101,0.995
DEU,2026,1.91,0.03,3.11,5.52,4.69,6.26,0.097,0.801
DEU,2027,1.95,0.1,3.17,4.65,3.82,5.4,0.09,0.286
JPN,2023,1.26,-0.06,1.96,6.49,5.95,6.93,0.107,0.999
JPN,2024,1.57,0.06,2.49,5.33,4.67,5.9,0.094,0.746
JPN,2025,1.76,0.21,2.75,4.52,3.81,5.13,0.079,0.156
JPN,2026,1.87,0.31,2.89,3.95,3.24,4.58,0.069,0.016
JPN,2027,1.96,0.35,3.0,3.55,2.83,4.19,0.068,0.002
IND,2023,4.56,1.92,5.97,9.15,8.12,10.04,0.035,1.0
IND,2024,3.4,0.29,5.23,7.24,5.96,8.35,0.085,0.98
IND,2025,2.68,-0.48,4.7,5.88,4.48,7.13,0.131,0.799
IND,2026,2.28,-0.97,4.3,4.92,3.51,6.24,0.166,0.465
IND,2027,2.01,-1.28,4.11,4.29,2.81,5.57,0.195,0.245
GBR,2023,2.93,1.0,4.02,11.91,11.13,12.6,0.045,1.0
GBR,2024,2.52,0.26,3.91,9.16,8.18,10.01,0.085,1.0
GBR,2025,2.25,-0.1,3.77,7.21,6.18,8.13,0.108,0.994
GBR,2026,2.09,-0.23,3.66,5.86,4.79,6.82,0.12,0.848
GBR,2027,1.99,-0.4,3.55,4.89,3.81,5.88,0.137,0.446
FRA,2023,1.86,0.21,2.81,8.59,7.88,9.18,0.087,1.0
FRA,2024,1.91,-0.14,3.1,6.8,5.94,7.57,0.111,0.993
FRA,2025,1.9,-0.25,3.25,5.56,4.64,6.39,0.124,0.794
FRA,2026,1.91,-0.24,3.26,4.69,3.74,5.56,0.122,0.332
FRA,2027,1.91,-0.17,3.3,4.09,3.12,4.97,0.115,0.091
BRA,2023,2.04,-1.8,4.18,12.02,10.45,13.4,0.2,1.0
BRA,2024,1.79,-2.8,4.52,9.3,7.37,11.01,0.276,0.995
BRA,2025,1.49,-3.29,4.53,7.37,5.29,9.24,0.324,0.927
BRA,2026,1.35,-3.37,4.45,6.03,3.89,7.98,0.335,0.742
BRA,2027,1.3,-3.34,4.43,5.05,2.93,7.05,0.34,0.514
CAN,2023,2.32,0.62,3.27,9.27,8.57,9.88,0.061,1.0
CAN,2024,2.18,0.24,3.38,7.29,6.44,8.05,0.082,0.999
CAN,2025,2.08,0.04,3.4,5.9,4.99,6.73,0.098,0.897
CAN,2026,2.02,-0.09,3.37,4.94,3.97,5.8,0.107,0.464
CAN,2027,1.98,-0.16,3.4,4.25,3.31,5.12,0.113,0.138
RUS,2023,-0.9,-5.17,1.42,14.57,12.82,16.07,0.674,1.0
RUS,2024,-0.05,-5.21,2.94,11.07,8.94,12.97,0.507,0.999
RUS,2025,0.41,-4.93,3.63,8.63,6.36,10.72,0.451,0.973
RUS,2026,0.59,-4.67,3.96,6.89,4.5,9.05,0.426,0.845
RUS,2027,0.8,-4.46,4.26,5.7,3.34,7.89,0.409,0.655
KOR,2023,1.8,-0.34,3.0,8.42,7.55,9.18,0.122,1.0
KOR,2024,1.8,-0.78,3.34,6.69,5.62,7.66,0.161,0.972
KOR,2025,1.82,-0.81,3.45,5.51,4.36,6.51,0.165,0.723
KOR,2026,1.8,-0.83,3.52,4.67,3.49,5.73,0.17,0.347
KOR,2027,1.82,-0.75,3.5,4.09,2.9,5.18,0.165,0.148
